,sorensen_distance_query_title,sorensen_distance_query_desc,levenshtein_distance_query_title,levenshtein_distance_query_desc,jaccard_distance_query_title,jaccard_distance_query_desc
0,0.0,0.860465116279,0,775,0.0,0.925
1,0.0,0.860465116279,0,775,0.0,0.925
2,0.0,0.863636363636,0,994,0.0,0.926829268293
3,0.0,0.863636363636,0,643,0.0,0.926829268293
4,0.0,0.863636363636,0,643,0.0,0.926829268293
5,0.0,0.866666666667,0,2928,0.0,0.928571428571
6,0.0,0.866666666667,0,2928,0.0,0.928571428571
7,0.0,0.866666666667,0,2928,0.0,0.928571428571
8,0.0,0.842105263158,0,785,0.0,0.914285714286
9,0.0,0.853658536585,0,440,0.0,0.921052631579
10,0.0,0.828571428571,0,675,0.0,0.90625
11,0.0,0.863636363636,0,1419,0.0,0.926829268293
12,0.0,0.863636363636,0,1419,0.0,0.926829268293
13,0.0,0.863636363636,0,1419,0.0,0.926829268293
14,0.0,0.863636363636,0,2150,0.0,0.926829268293
15,0.0,0.806451612903,0,534,0.0,0.892857142857
16,0.0,0.8125,0,769,0.0,0.896551724138
17,0.0,0.833333333333,0,482,0.0,0.909090909091
18,0.0,0.833333333333,0,482,0.0,0.909090909091
19,0.0,0.833333333333,0,482,0.0,0.909090909091
20,0.0,0.833333333333,0,482,0.0,0.909090909091
21,0.0,0.85,0,545,0.0,0.918918918919
22,0.0,0.85,0,545,0.0,0.918918918919
23,0.0,0.85,0,545,0.0,0.918918918919
24,0.0,0.85,0,545,0.0,0.918918918919
25,0.0,0.85,0,545,0.0,0.918918918919
26,0.0,0.85,0,545,0.0,0.918918918919
27,0.0,0.846153846154,0,1079,0.0,0.916666666667
28,0.0,0.846153846154,0,1079,0.0,0.916666666667
29,0.0,0.863636363636,0,2024,0.0,0.926829268293
30,0.0,0.863636363636,0,2024,0.0,0.926829268293
31,0.0,0.863636363636,0,2024,0.0,0.926829268293
32,0.0,0.833333333333,0,572,0.0,0.909090909091
33,0.0,0.833333333333,0,572,0.0,0.909090909091
34,0.0,0.833333333333,0,572,0.0,0.909090909091
35,0.0,0.846153846154,0,632,0.0,0.916666666667
